method,rows,problems,geom_mean_d4_speedup,geom_mean_kissat_speedup,geom_mean_models_ratio,geom_mean_d4_net_speedup,geom_mean_kissat_net_speedup,d4_timeout_rate,kissat_timeout_rate,median_tool_time_s
dihedral_gen,30,5,1.2765692548722305,1.15673333924663,0.35971088521229,1.2745149322306786,0.9323786909669194,0.0,0.0,0.0
gen2,90,15,2.391344943153347,0.8026643941866686,0.047996905513911475,2.3717053818186393,0.27160369570735693,0.7444444444444445,0.23333333333333334,0.23890674114227295
neighbors,90,15,238.35396371649006,8.70850061886018,9.470324375280405e-05,98.61780600997244,0.7885552067453033,0.4666666666666667,0.07777777777777778,0.7696943283081055
nongen,90,15,6.621496439993441,0.8850682524924729,0.003384801874051094,5.58204962485607,0.17954827436947482,0.7,0.16666666666666666,0.9950258731842041
randtrans,90,15,9.402731528647722,0.8214647560263748,0.003205618329534209,7.680475329705635,0.19006086883299203,0.6444444444444445,0.17777777777777778,0.9632045030593872
satsuma,156,26,9.026158256900496,4.406780309855156,0.18838180832899667,8.502686661026573,2.6581118476059604,0.46794871794871795,0.05128205128205128,0.00530397891998291
sums_neighbors,36,6,4.765388379394533,0.8443791802823104,0.0002270526763757584,4.271813217869818,0.27790997581742144,0.5,0.0,0.01596200466156006
transpositions,12,2,27.108682071607653,0.054671268916021434,0.0001713703123044621,15.081702963258106,0.0007915524938162573,0.08333333333333333,0.0,3.4450255632400513
