name,problem,method,k,d4_time_s,d4_status,d4_result,model_count,kissat_time_s,kissat_status,kissat_result,d4_timeout,kissat_timeout,model_count_plus1,d4_speedup_vs_method_k0,kissat_speedup_vs_method_k0,models_ratio_vs_method_k0,tool_time_s,tool_runs,amortized_tool_time_s,total_d4_time_s,total_kissat_time_s,tool_share_total_d4,tool_share_total_kissat,d4_net_speedup_vs_method_k0,kissat_net_speedup_vs_method_k0
golf_g3_p3_w3_randtrans_k016,golf_g3_p3_w3,randtrans,16,2.659,s,sat,35436.0,0.007,s,sat,False,False,35437.0,95.234674689733,0.7142857142857143,0.008137676366843033,0.0,1,0.0,2.659,0.007,0.0,0.0,95.234674689733,0.7142857142857143
golf_g3_p3_w3_randtrans_k032,golf_g3_p3_w3,randtrans,32,2.14,s,sat,16288.0,0.008,s,sat,False,False,16289.0,118.33130841121495,0.625,0.0037404467960023514,0.021425247192382812,1,0.021425247192382812,2.161425247192383,0.029425247192382813,0.009912555255016787,0.7281246289047004,117.15834277819035,0.16992210693456225
golf_g3_p3_w3_randtrans_k048,golf_g3_p3_w3,randtrans,48,1.608,s,sat,5385.0,0.009,s,sat,False,False,5386.0,157.48072139303483,0.5555555555555556,0.0012366347001763669,0.06455349922180176,1,0.06455349922180176,1.6725534992218019,0.07355349922180175,0.038595775412766715,0.8776400838135471,151.40263083830877,0.06797773121469612
golf_g3_p3_w3_randtrans_k064,golf_g3_p3_w3,randtrans,64,1.903,s,sat,5385.0,0.009,s,sat,False,False,5386.0,133.0683131897005,0.5555555555555556,0.0012366347001763669,0.11181116104125977,1,0.11181116104125977,2.01481116104126,0.12081116104125976,0.05549461071253718,0.9255035716697873,125.68373895106407,0.04138690462789598
golf_g3_p3_w3_randtrans_k080,golf_g3_p3_w3,randtrans,80,2.099,s,sat,5385.0,0.005,s,sat,False,False,5386.0,120.64268699380656,1.0,0.0012366347001763669,0.12798786163330078,1,0.12798786163330078,2.226987861633301,0.13298786163330079,0.057471288388358285,0.9624025836749902,113.70919633763907,0.03759741632500974
golf_g3_p3_w3_satsuma_k00,golf_g3_p3_w3,satsuma,0,259.921,s,sat,4354560.0,0.006,s,sat,False,False,4354561.0,1.0,1.0,1.0,0.0,1,0.0,259.921,0.006,0.0,0.0,1.0,1.0
golf_g3_p3_w3_satsuma_k016,golf_g3_p3_w3,satsuma,16,43.196,s,sat,652962.0,0.004,s,sat,False,False,652963.0,6.017246967311788,1.5,0.14994901895943563,0.0,1,0.0,43.196,0.004,0.0,0.0,6.017246967311788,1.5
golf_g3_p3_w3_satsuma_k032,golf_g3_p3_w3,satsuma,32,16.314,s,sat,175848.0,0.004,s,sat,False,False,175849.0,15.932389358832904,1.5,0.040382495590828925,0.002004384994506836,1,0.002004384994506836,16.316004384994507,0.006004384994506836,0.00012284778474013083,0.3338201991278982,15.930432100094555,0.9992697013081527
golf_g3_p3_w3_satsuma_k048,golf_g3_p3_w3,satsuma,48,13.035,s,sat,153526.0,0.004,s,sat,False,False,153527.0,19.940237821250477,1.5,0.03525637492651382,0.0,1,0.0,13.035,0.004,0.0,0.0,19.940237821250477,1.5
golf_g3_p3_w3_satsuma_k064,golf_g3_p3_w3,satsuma,64,16.778,s,sat,144152.0,0.007,s,sat,False,False,144153.0,15.491774943378234,0.8571428571428571,0.033103689006466784,0.015821456909179688,1,0.015821456909179688,16.79382145690918,0.022821456909179687,0.0009420998639157589,0.6932711163946625,15.477180144312264,0.2629104716617178
