problem,metric,best_method,best_k,value,tool_time_s,d4_time_s,kissat_time_s,total_d4_time_s,total_kissat_time_s,model_count,d4_result,kissat_result,d4_timeout,kissat_timeout
golf_g5_p4_w4,tool_time_s,neighbors,0,0.0,0.0,36003.6,3.977,36003.6,3.977,,,sat,True,False
golf_g5_p4_w4,total_d4_time_s,neighbors,320,5334.290166378021,9.29016637802124,5325.0,5.683,5334.290166378021,14.97316637802124,,,sat,True,False
golf_g5_p4_w4,total_kissat_time_s,satsuma,0,1.868,0.0,36002.4,1.868,36002.4,1.868,,,sat,True,False
golf_g5_p4_w4,d4_net_speedup_vs_method_k0,neighbors,320,6.749464104320822,9.29016637802124,5325.0,5.683,5334.290166378021,14.97316637802124,,,sat,True,False
golf_g5_p4_w4,kissat_net_speedup_vs_method_k0,gen2,0,1.0,0.02063441276550293,36009.0,4.103,36009.020634412766,4.123634412765503,,,sat,True,False
golf_g6_p2_w3,d4_time_s,gen2,132,3009.7,0.2858083248138428,3009.7,0.011,3009.9858083248137,0.2968083248138428,,,sat,True,False
golf_g6_p2_w3,kissat_time_s,neighbors,0,0.005,0.0,12252.5,0.005,12252.5,0.005,,,sat,True,False
golf_g6_p2_w3,d4_speedup_vs_method_k0,gen2,132,3.9910622321161577,0.2858083248138428,3009.7,0.011,3009.9858083248137,0.2968083248138428,,,sat,True,False
golf_g6_p2_w3,kissat_speedup_vs_method_k0,gen2,132,1.8181818181818183,0.2858083248138428,3009.7,0.011,3009.9858083248137,0.2968083248138428,,,sat,True,False
golf_g6_p2_w3,tool_time_s,gen2,0,0.0,0.0,12011.9,0.02,12011.9,0.02,,,sat,True,False
golf_g6_p2_w3,total_d4_time_s,gen2,132,3009.9858083248137,0.2858083248138428,3009.7,0.011,3009.9858083248137,0.2968083248138428,,,sat,True,False
golf_g6_p2_w3,total_kissat_time_s,neighbors,0,0.005,0.0,12252.5,0.005,12252.5,0.005,,,sat,True,False
golf_g6_p2_w3,d4_net_speedup_vs_method_k0,gen2,132,3.9906832672693358,0.2858083248138428,3009.7,0.011,3009.9858083248137,0.2968083248138428,,,sat,True,False
golf_g6_p2_w3,kissat_net_speedup_vs_method_k0,gen2,0,1.0,0.0,12011.9,0.02,12011.9,0.02,,,sat,True,False
latinsq_lsq5,d4_time_s,neighbors,24,0.056,0.02752852439880371,0.056,0.004,0.0835285243988037,0.031528524398803714,1344.0,sat,sat,False,False
latinsq_lsq5,kissat_time_s,neighbors,0,0.003,0.0,4.264,0.003,4.264,0.003,161280.0,sat,sat,False,False
latinsq_lsq5,model_count,transpositions,96,5.0,4.2695677280426025,2.322,0.04,6.591567728042603,4.309567728042603,5.0,sat,sat,False,False
latinsq_lsq5,d4_speedup_vs_method_k0,neighbors,24,76.14285714285714,0.02752852439880371,0.056,0.004,0.0835285243988037,0.031528524398803714,1344.0,sat,sat,False,False
latinsq_lsq5,kissat_speedup_vs_method_k0,satsuma,24,2.0,0.018807172775268555,0.565,0.003,0.5838071727752685,0.021807172775268554,15295.0,sat,sat,False,False
latinsq_lsq5,models_ratio_vs_method_k0,transpositions,96,3.1001984126984125e-05,4.2695677280426025,2.322,0.04,6.591567728042603,4.309567728042603,5.0,sat,sat,False,False
latinsq_lsq5,tool_time_s,gen2,0,0.0,0.0,5.112,0.005,5.112,0.005,161280.0,sat,sat,False,False
latinsq_lsq5,total_d4_time_s,neighbors,24,0.0835285243988037,0.02752852439880371,0.056,0.004,0.0835285243988037,0.031528524398803714,1344.0,sat,sat,False,False
latinsq_lsq5,total_kissat_time_s,neighbors,0,0.003,0.0,4.264,0.003,4.264,0.003,161280.0,sat,sat,False,False
latinsq_lsq5,d4_net_speedup_vs_method_k0,neighbors,24,51.04842963155553,0.02752852439880371,0.056,0.004,0.0835285243988037,0.031528524398803714,1344.0,sat,sat,False,False
latinsq_lsq5,kissat_net_speedup_vs_method_k0,gen2,0,1.0,0.0,5.112,0.005,5.112,0.005,161280.0,sat,sat,False,False
latinsq_lsq6,d4_time_s,neighbors,84,0.225,0.31779956817626953,0.225,0.013,0.5427995681762695,0.33079956817626954,7184.0,sat,sat,False,False
latinsq_lsq6,kissat_time_s,nongen,0,0.003,0.0,8272.33,0.003,8272.33,0.003,,,sat,True,False
latinsq_lsq6,model_count,transpositions,168,252.0,30.06076955795288,35.527,0.238,65.58776955795288,30.29876955795288,252.0,sat,sat,False,False
latinsq_lsq6,d4_speedup_vs_method_k0,neighbors,84,40129.333333333336,0.31779956817626953,0.225,0.013,0.5427995681762695,0.33079956817626954,7184.0,sat,sat,False,False
latinsq_lsq6,kissat_speedup_vs_method_k0,satsuma,210,1.3333333333333333,0.01570296287536621,3688.71,0.003,3688.7257029628754,0.01870296287536621,,,sat,True,False
latinsq_lsq6,tool_time_s,neighbors,0,0.0,0.0,9029.1,0.005,9029.1,0.005,,,sat,True,False
latinsq_lsq6,total_d4_time_s,neighbors,84,0.5427995681762695,0.31779956817626953,0.225,0.013,0.5427995681762695,0.33079956817626954,7184.0,sat,sat,False,False
latinsq_lsq6,total_kissat_time_s,nongen,0,0.003,0.0,8272.33,0.003,8272.33,0.003,,,sat,True,False
latinsq_lsq6,d4_net_speedup_vs_method_k0,neighbors,84,16634.31684431237,0.31779956817626953,0.225,0.013,0.5427995681762695,0.33079956817626954,7184.0,sat,sat,False,False
latinsq_lsq6,kissat_net_speedup_vs_method_k0,gen2,0,1.0,0.0020055770874023438,10327.7,0.007,10327.702005577088,0.009005577087402343,,,sat,True,False
latinsq_lsq7,d4_time_s,neighbors,340,14.22,6.706852436065674,14.22,0.16,20.926852436065673,6.866852436065674,268944.0,sat,sat,False,False
