problém,solver,nejlepší množina permutací,nejlepší k,čas nástroje [s],čas d4 [s],celkový čas [s],čisté zrychlení vůči k=0,počet modelů,výsledek,timeout
golf_g3_p3_w3,d4,neighbors,32,0.031676530838012695,0.085,0.1166765308380127,2149.772522361295,432.0,sat,False
golf_g4_p4_w6,d4,neighbors,76,0.518867015838623,0.612,1.1308670158386231,31836.634631439014,0.0,unsat,False
golf_g5_p3_w6,d4,satsuma,0,0.0,36000.4,36000.4,1.0,,,True
golf_g5_p4_w4,d4,neighbors,320,9.29016637802124,5325.0,5334.290166378021,6.749464104320822,,,True
golf_g6_p2_w3,d4,gen2,132,0.2858083248138428,3009.7,3009.9858083248137,3.9906832672693358,,,True
latinsq_lsq5,d4,neighbors,24,0.02752852439880371,0.056,0.0835285243988037,51.04842963155553,1344.0,sat,False
latinsq_lsq6,d4,neighbors,84,0.31779956817626953,0.225,0.5427995681762695,16634.31684431237,7184.0,sat,False
latinsq_lsq7,d4,neighbors,272,4.746349811553955,14.799,19.545349811553955,735.0699853684397,268944.0,sat,False
latinsq_lsq8,d4,satsuma,500,0.28479886054992676,3223.65,3223.93479886055,8.896333762747599,,,True
latinsq_lsq9,d4,gen2,710,5.822478532791138,5172.25,5178.072478532791,6.656073617492623,,,True
php_pig21_hol20,d4,satsuma,420,0.009088277816772461,0.031,0.04008827781677246,898018.123016949,0.0,unsat,False
php_pig25_hol20,d4,satsuma,400,0.028102636337280273,0.035,0.06310263633728028,570507.067368457,0.0,unsat,False
php_pig31_hol30,d4,satsuma,930,0.06365013122558594,0.045,0.10865013122558594,331346.1253466227,0.0,unsat,False
php_pig35_hol15,d4,satsuma,420,0.023751497268676758,0.022,0.04575149726867676,786916.3229472879,0.0,unsat,False
php_pig40_hol10,d4,satsuma,160,0.01616668701171875,0.03,0.04616668701171875,7828.263698200014,0.0,unsat,False
queens_n10,d4,satsuma,60,0.0,0.263,0.263,2.768060836501901,150.0,sat,False
queens_n11,d4,dihedral_gen,48,0.004009723663330078,1.608,1.6120097236633302,1.6786499239288402,964.0,sat,False
queens_n12,d4,satsuma,140,0.0,3.293,3.293,1.2429395687822653,7299.0,sat,False
queens_n13,d4,satsuma,165,0.0,8.781,8.781,2.499943058877121,13869.0,sat,False
queens_n14,d4,dihedral_gen,39,0.0,66.047,66.047,3.0568837343104156,132810.0,sat,False
rcsums_rc10_rcrand2,d4,sums_neighbors,88,0.03142809867858887,0.081,0.11242809867858887,12.648083679376583,99.0,sat,False
rcsums_rc10_rcrand5,d4,satsuma,44,0.0,2685.79,2685.79,2.856813079205746,,,True
rcsums_rc12_rcrand2,d4,sums_neighbors,124,0.06735110282897949,0.111,0.17835110282897948,1044.6080626630574,131.0,sat,False
rcsums_rc13_rcrand10,d4,satsuma,108,0.0047223567962646484,3803.01,3803.0147223567965,3.6299096921310476,,,True
rcsums_rc14_rcrand13,d4,satsuma,84,0.0,0.06,0.06,2.9833333333333334,0.0,unsat,False
rcsums_rc15_rcrand3,d4,sums_neighbors,240,0.2356126308441162,3853.78,3854.0156126308443,3.0849900973504027,,,True
