množina permutací,počet problémů,počet běhů,geom. průměr zrychlení d4,geom. průměr zrychlení kissat,geom. průměr čistého zrychlení d4,geom. průměr čistého zrychlení kissat,geom. průměr poměru modelů,geom. průměr redukčního faktoru modelů,medián času nástroje [s],míra timeoutů d4,míra timeoutů kissat
dihedral_gen,5,30,1.2765692548722305,1.15673333924663,1.2745149322306786,0.9323786909669194,0.35971088521229,2.780010394764205,0.0,0.0,0.0
gen2,15,90,2.391344943153347,0.8026643941866686,2.3717053818186393,0.27160369570735693,0.047996905513911475,20.834676512846414,0.23890674114227295,0.7444444444444445,0.23333333333333334
neighbors,15,90,238.35396371649006,8.70850061886018,98.61780600997244,0.7885552067453033,9.470324375280405e-05,10559.300403798377,0.7696943283081055,0.4666666666666667,0.07777777777777778
nongen,15,90,6.621496439993441,0.8850682524924729,5.58204962485607,0.17954827436947482,0.003384801874051094,295.43826705672194,0.9950258731842041,0.7,0.16666666666666666
randtrans,15,90,9.402731528647722,0.8214647560263748,7.680475329705635,0.19006086883299203,0.003205618329534209,311.9522966245656,0.9632045030593872,0.6444444444444445,0.17777777777777778
satsuma,26,156,9.026158256900496,4.406780309855156,8.502686661026573,2.6581118476059604,0.18838180832899667,5.3083681957950235,0.00530397891998291,0.46794871794871795,0.05128205128205128
sums_neighbors,6,36,4.765388379394533,0.8443791802823104,4.271813217869818,0.27790997581742144,0.0002270526763757584,4404.264314176419,0.01596200466156006,0.5,0.0
transpositions,2,12,27.108682071607653,0.054671268916021434,15.081702963258106,0.0007915524938162573,0.0001713703123044621,5835.316435809297,3.4450255632400513,0.08333333333333333,0.0
